,phylo0,S,lat.abs,Latitude.Google,Temperature,hemi
SESD1A,342.26458,2302,56.899453,56.899453,10,North
SESD1B,339.63665,2361,56.899453,56.899453,10,North
SESD1C,331.19698,2272,56.899453,56.899453,10,North
SESD2A,260.72412,1785,56.899453,56.899453,10,North
SESD2B,242.33689,1706,56.899453,56.899453,10,North
SESD2C,248.26491,1718,56.899453,56.899453,10,North
SESD3A,236.7335,1690,56.899453,56.899453,10,North
SESD3B,251.91344,1768,56.899453,56.899453,10,North
SESD3C,244.04943,1733,56.899453,56.899453,10,North
SEUL1A,258.26696,1887,57.12038,57.12038,8,North
SEUL1B,254.77596,1814,57.12038,57.12038,8,North
SEUL1C,253.84966,1750,57.12038,57.12038,8,North
SEVS1A,173.88992,1270,57.244691,57.244691,8,North
SEVS1B,171.1114,1260,57.244691,57.244691,8,North
SEVS1C,165.56358,1262,57.244691,57.244691,8,North
CHBU1A,312.15311,2277,47.17694,47.17694,10,North
CHBU1B,304.3178,2252,47.17694,47.17694,10,North
CHBU1C,316.00264,2345,47.17694,47.17694,10,North
CHDA1A,210.08595,1570,46.757466,46.757466,7,North
CHDA1B,209.82062,1528,46.757466,46.757466,7,North
CHDA1C,206.07574,1522,46.757466,46.757466,7,North
CHGS1A,295.75125,2203,47.304044,47.304044,11,North
CHGS1B,291.68752,2164,47.304044,47.304044,11,North
CHGS1C,305.1168,2197,47.304044,47.304044,11,North
CHKU1A,217.54665,1683,47.310665,47.310665,11,North
CHKU1B,235.58115,1796,47.310665,47.310665,11,North
CHKU1C,225.11597,1679,47.310665,47.310665,11,North
UKML1A,346.2025,2485,51.617753,51.617753,12,North
UKML1B,344.31135,2496,51.617753,51.617753,12,North
UKML1C,338.9973,2435,51.617753,51.617753,12,North
UKSL1A,341.35161,2523,51.509435,51.509435,12,North
UKSL1B,342.93059,2529,51.509435,51.509435,12,North
UKSL1C,351.74448,2588,51.509435,51.509435,12,North
UKHD1A,164.93124,1162,54.990664,54.990664,10,North
UKHD1B,169.45633,1183,54.990664,54.990664,10,North
UKHD1C,170.70368,1179,54.990664,54.990664,10,North
UKTM1A,240.4094,1701,54.715492,54.715492,10,North
UKTM1B,249.4452,1733,54.715492,54.715492,10,North
UKTM1C,246.86045,1681,54.715492,54.715492,10,North
CAMT1A,277.34516,2089,45.4326294,45.4326294,6,North
CAMT1B,283.61843,2096,45.4326294,45.4326294,6,North
CAMT1C,280.90106,2076,45.4326294,45.4326294,6,North
CAMT10A,205.15891,1512,46.0485628,46.0485628,4,North
CAMT10B,211.30231,1599,46.0485628,46.0485628,4,North
CAMT10C,214.25506,1570,46.0485628,46.0485628,4,North
CAMT11A,252.07736,1853,46.1184616,46.1184616,4,North
CAMT11B,256.55799,1925,46.1184616,46.1184616,4,North
CAMT11C,263.35439,1923,46.1184616,46.1184616,4,North
CAMT2A,225.20445,1750,45.366389,45.366389,7,North
CAMT2B,228.40336,1774,45.366389,45.366389,7,North
CAMT2C,349.27342,2693,45.366389,45.366389,7,North
CAMT3A,275.97043,1906,45.4159003,45.4159003,7,North
CAMT3B,274.40816,1931,45.4159003,45.4159003,7,North
CAMT3C,279.72434,1933,45.4159003,45.4159003,7,North
CAMT4A,210.30529,1596,45.3978466,45.3978466,6,North
CAMT4B,215.51811,1550,45.3978466,45.3978466,6,North
CAMT4C,198.72813,1450,45.3978466,45.3978466,6,North
CAMT5A,324.28315,2363,45.4032289,45.4032289,6,North
CAMT5B,305.32583,2252,45.4032289,45.4032289,6,North
CAMT5C,297.43734,2253,45.4032289,45.4032289,6,North
CAMT6A,340.72462,2594,45.2062926,45.2062926,6,North
CAMT6B,339.532,2595,45.2062926,45.2062926,6,North
CAMT6C,351.29528,2462,45.2062926,45.2062926,6,North
CAMT7A,280.73557,2010,45.255509,45.255509,6,North
CAMT7B,260.86336,2026,45.255509,45.255509,6,North
CAMT7C,267.95543,2058,45.255509,45.255509,6,North
CAMT8A,374.45283,2849,45.2831318,45.2831318,6,North
CAMT8B,378.78789,2898,45.2831318,45.2831318,6,North
CAMT8C,392.5121,3003,45.2831318,45.2831318,6,North
CAMT9A,217.87677,1425,45.6306875,45.6306875,6,North
CAMT9B,214.22663,1411,45.6306875,45.6306875,6,North
CAMT9C,210.12236,1326,45.6306875,45.6306875,6,North
CAON1A,251.9732,1746,43.523833,43.523833,6,North
CAON1B,239.45399,1696,43.523833,43.523833,6,North
CAON1C,247.87899,1724,43.523833,43.523833,6,North
CAON2A,268.86794,1875,43.523833,43.523833,6,North
CAON2B,269.79503,1867,43.523833,43.523833,6,North
CAON2C,249.13779,1733,43.523833,43.523833,6,North
CAON3B,285.75789,1993,43.523833,43.523833,6,North
CAON3C,278.94574,1943,43.523833,43.523833,6,North
CAON4AA,392.12423,3048,43.523833,43.523833,6,North
CAON4AB,261.66892,2022,43.523833,43.523833,6,North
CAON4AC,257.69247,1980,43.523833,43.523833,6,North
CAON4BA,227.52841,1629,43.523833,43.523833,6,North
CAON4BB,351.45382,2719,43.523833,43.523833,6,North
CAON4BC,228.80021,1676,43.523833,43.523833,6,North
MXDN1A,351.97697,2273,25.7277777,25.7277777,22,North
MXDN1B,341.64404,2289,25.7277777,25.7277777,22,North
MXDN1C,328.52922,2188,25.7277777,25.7277777,22,North
MXDN1D,325.8641,1987,25.7277777,25.7277777,22,North
MXDN1E,315.85481,1822,25.7277777,25.7277777,22,North
MXDN1F,315.83956,1864,25.7277777,25.7277777,22,North
MXDN1G,376.7193,2377,25.7277777,25.7277777,22,North
MXDN1H,452.41316,3245,25.7277777,25.7277777,22,North
MXEA1A,385.31282,2693,20.5241667,20.5241667,19,North
MXEA1B,331.27986,2230,20.5241667,20.5241667,19,North
MXEA1C,337.16461,2258,20.5241667,20.5241667,19,North
MXEA2A,328.39409,2230,20.5241667,20.5241667,19,North
MXEA2B,331.81186,2261,20.5241667,20.5241667,19,North
MXEA2C,370.99627,2561,20.5241667,20.5241667,19,North
MXEA3A,332.36531,2280,20.5241667,20.5241667,19,North
MXEA3B,317.90048,2191,20.5241667,20.5241667,19,North
MXEA3C,326.9225,2218,20.5241667,20.5241667,19,North
USAG1A,393.04202,2628,33.396025,33.396025,17,North
USAG1B,393.91524,2618,33.396025,33.396025,17,North
USAG1C,402.88318,2671,33.396025,33.396025,17,North
USAG2A,408.91816,2735,33.396025,33.396025,17,North
USAG2B,397.37784,2608,33.396025,33.396025,17,North
USAG2C,394.88623,2607,33.396025,33.396025,17,North
USAG3A,394.07099,2663,33.396025,33.396025,17,North
USAG3B,398.88281,2667,33.396025,33.396025,17,North
USAG3C,392.10892,2534,33.396025,33.396025,17,North
USAG4A,391.88856,2580,33.396025,33.396025,17,North
USAG4B,382.12255,2485,33.396025,33.396025,17,North
USAG4C,388.38824,2568,33.396025,33.396025,17,North
USAK1A,160.44449,1177,64.853378,64.853378,0,North
USAK1B,174.56729,1195,64.853378,64.853378,0,North
USAK1C,162.32401,1149,64.853378,64.853378,0,North
USAK1D,171.09921,1266,64.853378,64.853378,0,North
USAK2A,161.97645,1167,64.853378,64.853378,0,North
USAK2B,186.39601,1308,64.853378,64.853378,0,North
USAK2C,168.95476,1273,64.853378,64.853378,0,North
USAK2D,179.11488,1243,64.853378,64.853378,0,North
USAK3A,175.48545,1175,64.853378,64.853378,0,North
USAK3B,160.8472,1128,64.853378,64.853378,0,North
